,name,area,Unnamed: 0_x,GDP,Unnamed: 0_y,car,B,G,Z,D
306,常州,YR,69.0,（GDP）7400.9,,,（GDP）7400.9,7400.9,,
307,徐州,YR,68.0,（GDP）突破7000,36.0,139.51,（GDP）突破7000,7000,,
308,扬州,YR,75.0,5850.08,,,5850.08,5850.08,,
309,无锡,YR,67.0,11852.32,35.0,172.25,11852.32,11852.32,,
310,绍兴,YR,85.0,（GDP）5781,,,（GDP）5781,5781,,
311,金华,YR,86.0,(GDP)4559.91,,,(GDP)4559.91,4559.91,,
312,信阳,YR,159.0,2758.47,65.0,90.7,2758.47,2758.47,,
313,安庆,YR,98.0,（GDP）[2]2380.5,,,（GDP）2380.5,2380.5,,
314,宜昌,YR,166.0,4460.82,66.0,65.24,4460.82,4460.82,,
315,宿迁,YR,78.0,3099.23,,,3099.23,3099.23,,
316,岳阳,YR,182.0,3780.41,,,3780.41,3780.41,,
317,常熟,YR,,,,,,,,
318,张家港,YR,,,,,,,,
319,昆山,YR,,,,,,,,
320,江阴,YR,,,,,,,,
321,泰州,YR,77.0,5133.36,,,5133.36,5133.36,,
322,淮安,YR,73.0,3871.21,,,3871.21,3871.21,,
323,滁州,YR,100.0,（GDP）[2]2909.1,46.0,41.34,（GDP）2909.1,2909.1,,
324,盐城,YR,74.0,5702.3,,,5702.3,5702.3,,
325,舟山,YR,88.0,（GDP）1371.6,,,（GDP）1371.6,1371.6,,
326,芜湖,YR,93.0,3618.26,43.0,54.12,3618.26,3618.26,,
327,荆州,YR,168.0,统一核算，2019年全市实现地区生产总值2516.48,,,统一核算，2019年全市实现地区生产总值2516.48,2019,,
328,蚌埠,YR,,,,,,,,
329,镇江,YR,76.0,4127.32,37.0,54.7,4127.32,4127.32,,
330,阜阳,YR,101.0,（GDP）[4]2705.0,,,（GDP）2705.0,2705.0,,
331,马鞍山,YR,95.0,（GDP）2111.0,,,（GDP）2111.0,2111.0,,
332,临安,YR,,,,,,,,
333,六安,YR,103.0,（GDP）1620.1,,,（GDP）1620.1,1620.1,,
334,十堰,YR,165.0,统一核算，2019年全市实现地区生产总值（GDP）2012.7,,,统一核算，2019年全市实现地区生产总值（GDP）2012.7,2019,,
335,吴江,YR,,,,,,,,
336,咸宁,YR,173.0,1594.98,67.0,24.56,1594.98,1594.98,,
337,太仓,YR,,,,,,,,
338,孝感,YR,171.0,[2]2301.40,,,2301.40,2301.40,,
339,宜兴,YR,,,,,,,,
340,宣城,YR,106.0,（GDP）[2]1561.3,49.0,40.1,（GDP）1561.3,1561.3,,
341,宿州,YR,102.0,（GDP）[2]1978.75,47.0,66.75,（GDP）1978.75,1978.75,,
342,景德镇,YR,118.0,926.11,,,926.11,926.11,,
343,海门,YR,,,,,,,,
344,淮南,YR,94.0,（GDP）[2]1296.2,,,（GDP）1296.2,1296.2,,
345,溧阳,YR,,,,,,,,
346,益阳,YR,185.0,（GDP）1792.46,71.0,43.84,（GDP）1792.46,1792.46,,
347,金坛,YR,,,,,,,,
348,铜陵,YR,97.0,（GDP）960.2,,,（GDP）960.2,960.2,,
349,黄冈,YR,172.0,统一核算方法，2019年全市实现生产总值（GDP）2322.73,,,统一核算方法，2019年全市实现生产总值（GDP）2322.73,2019,,
350,黄山,YR,99.0,（GDP）[2]818.0,45.0,19.27,（GDP）818.0,818.0,,
351,黄石,YR,164.0,1767.19,,,1767.19,1767.19,,
352,句容,YR,,,,,,,,
353,广元,YR,233.0,（GDP）941.85,98.0,25.64,（GDP）941.85,941.85,,
354,池州,YR,105.0,831.7,,,831.7,831.7,,
355,荆门,YR,169.0,（GDP）2033.77,,,（GDP）2033.77,2033.77,,
356,鄂州,YR,170.0,1140.07,,,1140.07,1140.07,,
357,随州,YR,174.0,（GDP）1162.23,,,（GDP）1162.23,1162.23,,
358,黑龙江,,57.0,（GDP）13612.7,31.0,464.3,（GDP）13612.7,13612.7,,
359,儋州,,225.0,357.64,,,357.64,357.64,,
360,德宏,,268.0,（GDP）513.66,,,（GDP）513.66,513.66,德宏,
361,陇南,,297.0,445.09,,,445.09,445.09,,
362,巴音郭楞,,313.0,（GDP）1149.34,,,（GDP）1149.34,1149.34,巴音郭楞,
363,新疆生产建设兵团,,316.0,2747.07,,,2747.07,2747.07,,
